Product,Sub-product,Issue,Sub-issue,Complaint,Company,State,Submitted via,Company response to consumer,Timely response?,Cleaned_Complaint
Mortgage,Other mortgage,"Application, originator, mortgage broker",,"In XXXX I invested my XXXX into multi-residential apartment units and financed it through PNC Bank. My loan # is XXXX, under my XXXX complaint organization called XXXX. Over the last few years I tried to refinance this loan at existing interest rates which were 3 % -5 % points lower than my existing loan at 6.75 %. XXXX of my attempts were rejected. Over the course of 8 years I 've paid XXXX of XXXX of dollars in interest but principal amount have been reduced by only $ XXXX. After the economic downturn in XXXX, the interest rates dropped and so I wanted to protect my XXXX and leverage the low interest rates, but PNC rejected my requests for refinance, and continues to charge me high interest rates. I also suspect that with the current 6.75 % interest rates, the calculations may be compounded by additional charges which I do n't understand and this could be reason why it is not making a dent to the principal balance. Since the original investment came from my XXXX I want to protect this investment, but at this time I think I am going to be losing a substantial portion of my retirement income since PNC is not ready to refinance. I am XXXX years old, and have little runway to ensure that my retirement income is protected. So need your help to ensure PNC loan practices are in line with standard financing practices, especially those that apply to XXXX investments. During the economic downturn and even to the current day, my XXXX organization, XXXX XXXX has lost money each of the last 8 years. PNC cooperation in refinancing my loan in XXXX, XXXX could have saved me XXXX of dollars in interest payment, and helped me break even at least. I 've not missed a payment on the loan since XXXX, and was hoping PNC would take this into account in refinancing my loan as early back as in XXXX, when commercial loan interest rates were falling. 
Looking for some interest rate relief and retro relief too, as a special case since my retirement investment via XXXX was designed to be my retirement income, in a couple of years time when I retire. 
",PNC Bank N.A.,IL,Web,Closed with explanation,Yes,xxxx invested xxxx multiresidential apartment unit financed pnc bank loan xxxx xxxx complaint organization called xxxx last year tried refinance loan existing interest rate point lower existing loan xxxx attempt rejected course year paid xxxx xxxx dollar interest principal amount reduced xxxx economic downturn xxxx interest rate dropped wanted protect xxxx leverage low interest rate pnc rejected request refinance continues charge high interest rate also suspect current interest rate calculation may compounded additional charge nt understand could reason making dent principal balance since original investment came xxxx want protect investment time think going losing substantial portion retirement income since pnc ready refinance xxxx year old little runway ensure retirement income protected need help ensure pnc loan practice line standard financing practice especially apply xxxx investment economic downturn even current day xxxx organization xxxx xxxx lost money last year pnc cooperation refinancing loan xxxx xxxx could saved xxxx dollar interest payment helped break even least missed payment loan since xxxx hoping pnc would take account refinancing loan early back xxxx commercial loan interest rate falling looking interest rate relief retro relief special case since retirement investment via xxxx designed retirement income couple year time retire
Debt collection,Medical,Communication tactics,Called after sent written cease of comm,"Company calls after I sent a written Cease & Desist notification. Also, robo-calls using an ATDS to my mother 's mobile. I have previously provided both the Company and its client documentation regarding my father 's death and that I am the executor for his estate and POA for my mother. 
","Jon Barry and Associates, Inc.",PA,Web,Closed with non-monetary relief,Yes,company call sent written cease desist notification also robocalls using atds mother mobile previously provided company client documentation regarding father death executor estate poa mother
Credit card,,Advertising and marketing,,"I applied to Citibank and XXXX XXXX for their Advantage Card. They promised XXXX miles and {$100.00} if I qualify. Well, my FICO score is XXXX or so, so that should n't be a problem, I figured. They did n't approve, did n't write back, did n't communicate. I asked them for a reason over my secured email for the accounts I have with them, but they failed to communicate and also what is there to communicate. They know me as their existing well paying customer. 
",Citibank,TX,Web,Closed with non-monetary relief,Yes,applied citibank xxxx xxxx advantage card promised xxxx mile qualify well fico score xxxx nt problem figured nt approve nt write back nt communicate asked reason secured email account failed communicate also communicate know existing well paying customer
Consumer Loan,Vehicle loan,Managing the loan or lease,,"Toyota sent me a letter XXXX XXXX stating that they would remove negative credit reporting that occurred on my account in XXXX XXXX. I co signed on a car loan with someone and through no fault of my own the payments were late and I was never notified of this serious delinquency, until after the negative credit reporting already occured. Despite Toyota having my phone number and home address, they chose to send me a letter more than 2 months after the account went delinquent, thus not allowing me to speak to the cosigner, or if necessary make the payments myself to get the account current. Toyota gives me this letter, advising that they were removing the marker, but the marker is never removed and on top of that, they then report me XXXX 60 days, despite the letter saying that they were taking off the 30 day and that I had no other negative reporting. I have attempted to resolve this with them to no avail for almost 6 months, and they refuse to do what I have in writing that they said they were going to do. This have severly impacted my credit and I want them to honor what they said they would do in writing. This car loan is almost paid off, and it 's unacceptable that they send me a letter that says this, then refuse to do it.",Toyota Motor Credit Corporation,PA,Web,Closed with explanation,Yes,toyota sent letter xxxx xxxx stating would remove negative credit reporting occurred account xxxx xxxx co signed car loan someone fault payment late never notified serious delinquency negative credit reporting already occured despite toyota phone number home address chose send letter month account went delinquent thus allowing speak cosigner necessary make payment get account current toyota give letter advising removing marker marker never removed top report xxxx day despite letter saying taking day negative reporting attempted resolve avail almost month refuse writing said going severly impacted credit want honor said would writing car loan almost paid unacceptable send letter say refuse
Student loan,Federal student loan servicing,Dealing with my lender or servicer,Trouble with how payments are handled,"My father submitted a payment on my behalf to Navient in order to pay off XXXX federal student loans which were taken out under my name for college back in the XXXX timeframe. The intent was to pay off these XXXX loans in full, and we made sure that we included the loan numbers and explicit instructions on how the funds should be disbursed. 
Navient applied my payment in error across all my federal student loans, as I have since taken out XXXX additional loans separately. As a result, they did not charge me for the XXXX newer loans last month. Their website showed a XXXX balance due - no other loan details, but I figured everything was okay. However when I went to make my regular payment this month, they still showed XXXX due. At this point it became apparent that they applied the funds in error to all of my loans. This does raise an additional point of contention with their "" new website '', which does not really show enough information to make informed decisions about my payments. 
I immediately called Navient customer service and explained the situation, and the service rep told me it would be resolved and there would be no past due amount. Later that week, I received notification that action had been taken. It 's currently Friday night - Navient is closed - and I logged into the website to find that I now have XXXX past due notices on my account. 
Furthermore, even though I am on a fixed monthly payment for my remaining, consolidated federal loans, they charge me an additional {$75.00} every third month for no apparent reason. The customer service representative I spoke to earlier this week explained to me that this had to do with the disposition of the loan, but could n't explain why the amount was different from the agreed upon terms of the consolidation. 
I 'm completely fed up with the servicer Navient at this point. I will continue calling them to straighten out the past due amounts and attempt to resolve the situation but I do n't feel that they are acting in good faith, in competence, and I 'm seriously concerned that they have been overcharging me even though I have never missed or made a late payment. Any help you can provide in dealing with them would be appreciated.","Navient Solutions, Inc.",MD,Web,Closed with explanation,Yes,father submitted payment behalf navient order pay xxxx federal student loan taken name college back xxxx timeframe intent pay xxxx loan full made sure included loan number explicit instruction fund disbursed navient applied payment error across federal student loan since taken xxxx additional loan separately result charge xxxx newer loan last month website showed xxxx balance due loan detail figured everything okay however went make regular payment month still showed xxxx due point became apparent applied fund error loan raise additional point contention new website really show enough information make informed decision payment immediately called navient customer service explained situation service rep told would resolved would past due amount later week received notification action taken currently friday night navient closed logged website find xxxx past due notice account furthermore even though fixed monthly payment remaining consolidated federal loan charge additional every third month apparent reason customer service representative spoke earlier week explained disposition loan could nt explain amount different agreed upon term consolidation completely fed servicer navient point continue calling straighten past due amount attempt resolve situation nt feel acting good faith competence seriously concerned overcharging even though never missed made late payment help provide dealing would appreciated
Debt collection,Payday loan,Communication tactics,Threatened to take legal action,"XXXX XXXX accused my father of being senile and not remembering walking into a loan company and taking out a loan. They threatened to take him to court and spoke to me abusively and disconnected the call. When I explained this was a mistake and not to accuse my father of something he did not do, the representative said my father was guilty until he can prove he did n't take out the loan. I was also accused of crying, which I was n't. The representative spoke over me, made threats and hung up. My father is XXXX years old, but not senile. However speaking to a person with such tactics would very likely cause harm to my father 's health.",ACE Cash Express Inc.,CA,Web,Closed with explanation,Yes,xxxx xxxx accused father senile remembering walking loan company taking loan threatened take court spoke abusively disconnected call explained mistake accuse father something representative said father guilty prove nt take loan also accused cry nt representative spoke made threat hung father xxxx year old senile however speaking person tactic would likely cause harm father health
Debt collection,I do not know,Disclosure verification of debt,Right to dispute notice not received,"I received an alert on my credit profile showing a hard inquiry has hit my credit report from a business in XXXX FL NCC. I have never received anything in the mail giving me a Chance as a consumer to dispute a debt or to prove me the debt is mine. This is unfair and unethical. This is a repeated pattern with all of the reviews I have read about this company. I contacted NCC immediately and they could n't not tell me anything. This has ruined my credit. 
","NCC Business Services, Inc.",FL,Web,Closed with explanation,Yes,received alert credit profile showing hard inquiry hit credit report business xxxx fl ncc never received anything mail giving chance consumer dispute debt prove debt mine unfair unethical repeated pattern review read company contacted ncc immediately could nt tell anything ruined credit
Bank account or service,Checking account,"Making/receiving payments, sending money",,"I contacted my bank about what I believe to be fraudulent activity on my account that I recently noticed. The banker is stating that they are unwilling to do their do diligence to investigate this matter further. They actually notified me of a security breach back in XXXX 2013 however the are unwilling to investigate that breach. Furthermore, the representative stated my banking is my responsibility. I believe my banking is the responsibility of the institution where my money is placed. Especially if my money is supposed to be backed by FDIC. The representative also stated that there are times when there are things they as a banking institution overlook. That does not sit well with me and I believe if there was something overlooked it is their responsibility to investigate what they stated was a security breach and possible fraudulent activity. The representatives I spoke to were XXXX, XXXX, and XXXX. They are unwilling to investigate because they claim I logged into my account and that I should have reported it sooner. However, they all stated I have a two year window in which to report fraudulent activity and they refuse to honor their own verbal and written agreement. Additionally, I stated that I did not want to get into my own personal/medically history but that their are reasons ( medically/personally ) why the charges may have been overlooked on my end. I but my trust in the institution where I bank to honor their agreement to keep my money safe. I do not feel safe with an institution that will not investigate fraudulent activity. 
",JPMorgan Chase & Co.,NY,Web,Closed with monetary relief,Yes,contacted bank believe fraudulent activity account recently noticed banker stating unwilling diligence investigate matter actually notified security breach back xxxx however unwilling investigate breach furthermore representative stated banking responsibility believe banking responsibility institution money placed especially money supposed backed fdic representative also stated time thing banking institution overlook sit well believe something overlooked responsibility investigate stated security breach possible fraudulent activity representative spoke xxxx xxxx xxxx unwilling investigate claim logged account reported sooner however stated two year window report fraudulent activity refuse honor verbal written agreement additionally stated want get personalmedically history reason medicallypersonally charge may overlooked end trust institution bank honor agreement keep money safe feel safe institution investigate fraudulent activity
Credit card,,Advertising and marketing,,"US Bank advertised its XXXX XXXX card with "" bonus award night exclusively for card members '' who "" enjoy all these benefits after paying {$75.00} annual fee. Relying on this advertising, we paid the annual fee, but now the bonus award night has been rescinded. 
",U.S. Bancorp,CA,Web,Closed with non-monetary relief,Yes,u bank advertised xxxx xxxx card bonus award night exclusively card member enjoy benefit paying annual fee relying advertising paid annual fee bonus award night rescinded
Credit reporting,,Incorrect information on credit report,Personal information,"iam having a problem with equifax i have called them i have written them and they just dont care iam trying to dispute some things with them when i go to the dispute site it rejects me saying iam not entering right information they ask questions that have nothing to do with me so they must have the wrong information there reporting wrong information on me and i should have the right to dispute i use XXXX with equifax and XXXX i have no problems with XXXX some help would be nice thank you 
",Equifax,NH,Web,Closed with explanation,Yes,iam problem equifax called written dont care iam trying dispute thing go dispute site reject saying iam entering right information ask question nothing must wrong information reporting wrong information right dispute use xxxx equifax xxxx problem xxxx help would nice thank
Credit reporting,,Incorrect information on credit report,Information is not mine,"I am a victim of identity theft and has filed a identity theft and police report with the XXXX XXXX Police Department. The police report case number is : XXXX, the following accounts are unauthorized, fraudulent and do n't belong to me : XXXX XXXX XXXX, XXXX XXXX, XXXX XXXX XXXX, XXXX. XXXX, XXXX XXXX XXXX , XXXX, XXXX XXXX XXXX XXXX, XXXX XXXX, XXXX XXXX XXXX XXXX, U.S. Department of Education, and XXXX.",Equifax,MN,Web,Closed with explanation,Yes,victim identity theft filed identity theft police report xxxx xxxx police department police report case number xxxx following account unauthorized fraudulent nt belong xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx u department education xxxx
Credit reporting,,Incorrect information on credit report,Account terms,"I disputed Account # XXXX XXXX XXXX XXXX with credit reporting agencies XXXX, Exquifax and XXXX XXXX on XXXX/XXXX/2016 as soon as this account appear on my credit report. I did not receive any commucation from XXXX XXXX XXXX and I did not receive any letter of validation statement with disclosure to let me know about this account or any other account that I had open from any medical bills. Below is the respond from Equifax and XXXX The Results Of Our Reinvestigation Collection Agency Information ( This section includes accounts that have been placed for collection with a collection agency. ) XXXX We have researched the collection account. Account # XXXX The results are : We verified that this item belongs to you. If you have additional questions about this item please contact : XXXX XXXX XXXX, XXXX XXXX XXXX, XXXX CT XXXX Phone : ( XXXX ) XXXX XXXX XXXX XXXX XXXX ; Collection Reported XXXX ; Assigned XXXX ; Creditor Class XXXX XXXX ; Client XXXX XXXX XXXX XXXX ; Amount {$410.00} ; Status as of XXXX Unpaid ; Date of 1st Delinquency XXXX ; Balance as of XXXX {$410.00} ; XXXX ; Account # XXXX ; XXXX : XXXX XXXX XXXX XXXX CT XXXX : ( XXXX ) XXXX 
",Equifax,NJ,Web,Closed with explanation,Yes,disputed account xxxx xxxx xxxx xxxx credit reporting agency xxxx exquifax xxxx xxxx xxxxxxxx soon account appear credit report receive commucation xxxx xxxx xxxx receive letter validation statement disclosure let know account account open medical bill respond equifax xxxx result reinvestigation collection agency information section includes account placed collection collection agency xxxx researched collection account account xxxx result verified item belongs additional question item please contact xxxx xxxx xxxx xxxx xxxx xxxx xxxx ct xxxx phone xxxx xxxx xxxx xxxx xxxx xxxx collection reported xxxx assigned xxxx creditor class xxxx xxxx client xxxx xxxx xxxx xxxx amount status xxxx unpaid date st delinquency xxxx balance xxxx xxxx account xxxx xxxx xxxx xxxx xxxx xxxx ct xxxx xxxx xxxx
Credit reporting,,Incorrect information on credit report,Account terms,"I did n't give authorization to apply for a credit card with XXXX XXXX 
","TransUnion Intermediate Holdings, Inc.",NJ,Web,Closed with explanation,Yes,nt give authorization apply credit card xxxx xxxx
Mortgage,Other mortgage,Settlement process and costs,,"Entered into a short sale 1 month before the seller declared bankruptcy. A {$170000.00} judgement from default of a business loan. A third lien holder was assigned to the home. After the dust settled and with consent of the sellers we provided a HUD-1 to the bankruptcy trustee to move forward with the sale of the house. The cost of the house {$800000.00}. The HUD-1 represented the payoff to XXXX and XXXX mortgage holders and {$25000.00}. for removal of the lien from the judgment. This appeared to allow the short sale to move forward. Because of the HUD-1 showed funds that would be available for her creditors. The trustee petition the court to hire an attorney, then used our HUD-1 to file an adversary case ( XXXX ) to remove the judgment. After nine months we expected a revised HUD-1 with the trustee as the third party to develop and move forward with the short sale. To everybody 's surprise Nationstar the senior lien holder changed the price of the house and increased it by {$90000.00} which was way out of align with the value of the other homes. Nationstar has around {$750000.00} payoff. You could ask yourself why does n't Nationstar sell the house and just take what 's owed. Four months, after trying to negotiate a sale, we were told that Nationstar is like a bank. Unlike a real bank that requires to have percentage of cash in its reserves Nationstar uses the asset as the reserve. If the house was bought buy the previous seller at {$1000000.00}. the bank looks at its book value and compare is liability. They are {$250000.00} into the money. Immediately this property became a valuable asset to their portfolio. Nationstar uses advances through securitization of servicing agreements. Unlike XXXX and other banks Nationstar business is building a portfolio of performing assets. Nationstar had acquired a lot of properties in the last 2 years. The regulatory agencies have n't caught up. As far as this short sale is concerned Nationstar over stepped by misrepresenting to the Bankruptcy court. What 's in it for me. I am half of the HUD-1 the buyer. Half of that government document is me and Nationstar used it to remove a judgment for their own financial gain. I just wanted to buy the house. 
",Nationstar Mortgage,MD,Web,Closed with explanation,Yes,entered short sale month seller declared bankruptcy judgement default business loan third lien holder assigned home dust settled consent seller provided hud bankruptcy trustee move forward sale house cost house hud represented payoff xxxx xxxx mortgage holder removal lien judgment appeared allow short sale move forward hud showed fund would available creditor trustee petition court hire attorney used hud file adversary case xxxx remove judgment nine month expected revised hud trustee third party develop move forward short sale everybody surprise nationstar senior lien holder changed price house increased way align value home nationstar around payoff could ask nt nationstar sell house take owed four month trying negotiate sale told nationstar like bank unlike real bank requires percentage cash reserve nationstar us asset reserve house bought buy previous seller bank look book value compare liability money immediately property became valuable asset portfolio nationstar us advance securitization servicing agreement unlike xxxx bank nationstar business building portfolio performing asset nationstar acquired lot property last year regulatory agency nt caught far short sale concerned nationstar stepped misrepresenting bankruptcy court half hud buyer half government document nationstar used remove judgment financial gain wanted buy house
Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,"Long story which I will keep as short as possible. I received a notice on XXXX/XXXX/XXXX from my bank that my account was frozen and told to contact Riverview Law. I 've called them every single day since XXXX/XXXX/XXXX trying to get details. They had the wrong name, incorrect address, address that did not exist in the state of MN. I 've been asking for a detailed list of all notices/bills sent for a medical bill from XXXX for my XXXX XXXX XXXX son for a XXXX injury that happened when he was living with his grandparent 's in XXXX MN. They have ignored me, hung up on me and put me on hold for long periods of time. They sent me a letter stating that due to the age of the visit there was no consent form on file. This is not true. I have the records and I informed Riverview Law before this letter was sent that I had them. They also told the XXXX the same thing. They now claim that the hospital misinformed them. I 've been trying to verify the debt and have asked everyday since XXXX/XXXX/XXXX for names, dates and addresses of where these notices were sent. I did manage to get XXXX bill from XXXX XXXX XXXX dated XXXX that they send was mailed to me. I 've informed them again that the address on the bill does not exist in the state of MN. The street address is a XXXX address and the city and zip code are for an address in northern MN. I 've offered to work directly with the hospital regarding this matter since I do n't feel that Riverview Law is honest and forthcoming with information in my attempts to resolve this matter. They said is does not matter if the information is not correct, they have a judgment and can legal garnish my bank account. I 've told them many times that I never knew about this and how was it fair that I have to pay over what the original debt is because both XXXX XXXX XXXX and Riverview Law did not do their due diligence in properly informing me of this matter. If I was informed like they are saying I was why is it that they have a wrong last name for me, an incorrect/not vaild phone number and an address that can be verified by the XXXX XXXX XXXX as non-valid in the state of MN. They also just told the XXXX that half a dozen notices were sent to me at my current address between XXXX. I was told by the hospital that Riverview Law did not have this file until XXXX. I questioned how they can make that statement since they did not have this debt at that time. I also have proof that I did not live at my current address until XXXX/XXXX/XXXX so how is it that they sent notices to an address that I did not live at until after the time period they are referring to. There are many complaints out there regarding the tactics regarding Riverview Law and my story is very similar. I do n't believe that I was ever properly notified by Riverview Law regarding this debt. In my dealing with them everyday since XXXX/XXXX/XXXX, I have records to prove that they have lied about the information that is out there regarding this debt. 
","Riverview Law Office, PLLC",MN,Web,Closed with explanation,Yes,long story keep short possible received notice xxxxxxxxxxxx bank account frozen told contact riverview law called every single day since xxxxxxxxxxxx trying get detail wrong name incorrect address address exist state mn asking detailed list noticesbills sent medical bill xxxx xxxx xxxx xxxx son xxxx injury happened living grandparent xxxx mn ignored hung put hold long period time sent letter stating due age visit consent form file true record informed riverview law letter sent also told xxxx thing claim hospital misinformed trying verify debt asked everyday since xxxxxxxxxxxx name date address notice sent manage get xxxx bill xxxx xxxx xxxx dated xxxx send mailed informed address bill exist state mn street address xxxx address city zip code address northern mn offered work directly hospital regarding matter since nt feel riverview law honest forthcoming information attempt resolve matter said matter information correct judgment legal garnish bank account told many time never knew fair pay original debt xxxx xxxx xxxx riverview law due diligence properly informing matter informed like saying wrong last name incorrectnot vaild phone number address verified xxxx xxxx xxxx nonvalid state mn also told xxxx half dozen notice sent current address xxxx told hospital riverview law file xxxx questioned make statement since debt time also proof live current address xxxxxxxxxxxx sent notice address live time period referring many complaint regarding tactic regarding riverview law story similar nt believe ever properly notified riverview law regarding debt dealing everyday since xxxxxxxxxxxx record prove lied information regarding debt
Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,"Hillcrest Davidson & Associates contacted my mother ( XXXX Party ) about a frivolous claim that I formally disputed and have not been provided backup or documentaion on. 

1. Disclosed detailed information about disputed claim including slanderous allegations of fraud. 
2. Obtained the contact information illegally from an employer ' s emergency contact information. 
3. Continously harrasing XXXX party after being asked not to ( In writting ) on several occasions.",Hillcrest Davidson & Assoc,CA,Web,Closed,Yes,hillcrest davidson associate contacted mother xxxx party frivolous claim formally disputed provided backup documentaion disclosed detailed information disputed claim including slanderous allegation fraud obtained contact information illegally employer emergency contact information continously harrasing xxxx party asked writting several occasion
Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"I filed for a loan modification with Chase sometime in XXXX and Iwas called several times by Chase for the same documents overand over again. Then when all my documents were finally in andwent to be processed, I was denied a modification. I lost myjob, so I am not earning the money I use to make, but I amemployed or underemployed as the bank likes to call it. I do n't feellike I was helped enough, but given a rushed solution of doing ashort sale. I want to stay in my home if possible. Thank you. 
",JPMorgan Chase & Co.,IL,Web,Closed with explanation,Yes,filed loan modification chase sometime xxxx iwas called several time chase document overand document finally andwent processed denied modification lost myjob earning money use make amemployed underemployed bank like call nt feellike helped enough given rushed solution ashort sale want stay home possible thank
Student loan,Non-federal student loan,Can't repay my loan,Can't get flexible payment options,"Hello-I need your help, I am being treated very unfairly by a student loan company called Navient. I feel as if they are committing fraud or that they have been ripping me off. This is regarding my private student loan accounts I have with them. Recently the accounts went from XXXX to Navient. My private loans total around {$14000.00}. My payments were on an interest only plan for quite sometime due to me extending my payments off until I could not anymore due to financial struggles. Meaning I paid only interest every month for years, not one dollar was going to my principle which I understood. Navient then tells me the interest loan repayment plan was over, and my payments would start going to my principle. When I got my monthly bill statement I noticed it increased from XXXX to XXXX. I called them immediately and told them I was a single mother of XXXX children and could not pay the full amount with the new increase. I told them I could not afford it and I needed them to work with me to get it down to what was paying which was XXXX. They went from one customer service agent to another, then to the supervisor because each one of them told me the same thing, they could not do anything for me. The supervisor told me the same thing as well, I had to pay the XXXX a month. I then asked lets say I was able to pay the XXXX a month thinking well I have already finished paying the interest only payments for a couple years maybe I will now be paying a lot more towards my principle, and finish soon, nope. ..he starts to tell me the contrary, that he calculated XXXX would go to interest and the rest to my principal, and according to his calculations the pay off time would be in 2028, 13 years from now. I explained once again my financial struggles and still he went on to tell me I should make my payment every month even if it is the {$150.00} or else they could garnish my checks. I told him how do you expect for me to pay your company the {$150.00} I can afford if your telling me that would not even cover my monthly accrual interest? I told him I would never finish paying you guys off then. He told me he understood but that there was nothing he could do for me and that I had agreed to all of it when the loan was given. Do you guys think this is fair? To make monthly payments of XXXX for the rest of my life and never have one dollar go to my principle? I need help, please refer me to someone, I am desperate. Thank you for your time. 

XXXX XXXX 
","Navient Solutions, Inc.",WA,Web,Closed with explanation,Yes,helloi need help treated unfairly student loan company called navient feel committing fraud ripping regarding private student loan account recently account went xxxx navient private loan total around payment interest plan quite sometime due extending payment could anymore due financial struggle meaning paid interest every month year one dollar going principle understood navient tell interest loan repayment plan payment would start going principle got monthly bill statement noticed increased xxxx xxxx called immediately told single mother xxxx child could pay full amount new increase told could afford needed work get paying xxxx went one customer service agent another supervisor one told thing could anything supervisor told thing well pay xxxx month asked let say able pay xxxx month thinking well already finished paying interest payment couple year maybe paying lot towards principle finish soon nope start tell contrary calculated xxxx would go interest rest principal according calculation pay time would year explained financial struggle still went tell make payment every month even else could garnish check told expect pay company afford telling would even cover monthly accrual interest told would never finish paying guy told understood nothing could agreed loan given guy think fair make monthly payment xxxx rest life never one dollar go principle need help please refer someone desperate thank time xxxx xxxx
Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Threatened to take legal action,"Continuous calls from Cooper Hauffman & Klein. I have been ignoring their calls for months after my request for a debt validation letter was ignored. They continue to call and harass me multiple times per day. They use foul language, threatening tactics and will not stop despite my verbal request that all communication be by postal mail. 
",Cooper Hoffman Klein Associates,IL,Web,Closed with explanation,Yes,continuous call cooper hauffman klein ignoring call month request debt validation letter ignored continue call harass multiple time per day use foul language threatening tactic stop despite verbal request communication postal mail
Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,"On XXXX XXXX, I logged into my XXXX account to check my credit score which I do weekly and it reflected that TransUnion had removed XXXX inquiries from my credit report. It ultimately made my credit score go up. Now on XXXX XXXX, I went back to check my credit score because I had paid some credit cards down I knew my credit score would be going up but to my surprise my score had dropped XXXX points because those same XXXX inquires that were once removed were now back on my credit report. I do n't know if it is the error of TransUnion or XXXX XXXX but it made my score drastically go down. I am trying to purchase a home and now this is he derive me from doing so and I 'm just trying to understand why they were removed just to be put back and then affected my score.","TransUnion Intermediate Holdings, Inc.",PA,Web,Closed with non-monetary relief,Yes,xxxx xxxx logged xxxx account check credit score weekly reflected transunion removed xxxx inquiry credit report ultimately made credit score go xxxx xxxx went back check credit score paid credit card knew credit score would going surprise score dropped xxxx point xxxx inquires removed back credit report nt know error transunion xxxx xxxx made score drastically go trying purchase home derive trying understand removed put back affected score
Credit card,,Billing disputes,,"I have a XXXX Rewards Card that was initially issued by XXXX Bank. I think that in the middle of last month, XXXX 2015, the card was taken over by Synchrony Bank. XXXX Bank sent me a statement at the beginning of XXXX telling me to send payment of at least {$25.00} to XXXX by XXXX XXXX. On XXXX XXXX, my bank sent XXXX an online payment of {$700.00} which is how I 've paid that bill for years. I went to XXXX 's website the next week to see if the payment had been made, but the XXXX Card had been removed. On XXXX XXXX, I received an email from Synchrony Bank telling me that I could access my account on their website. I did and found that the {$700.00} payment had not been credited. I called Synchrony the next day, XXXX XXXX, and they said they had no record of the {$700.00} payment. They also said I had to make a payment by XXXX XXXX or I 'd be charged a late fee. I called XXXX, which recieved the payment from my bank and they said they had no record of it. I also called my bank, XXXX XXXX XXXX XXXX, which sent me the wire receipts showing the funds being wired to XXXX. 
Yesterday, XXXX XXXX, Synchrony Bank charged me a late fee. My credit union is investigating what happened to the payment and calling me with updates, but neither it, XXXX, or Synchrony know where my {$700.00} went. 
",Synchrony Financial,MO,Web,Closed with explanation,Yes,xxxx reward card initially issued xxxx bank think middle last month xxxx card taken synchrony bank xxxx bank sent statement beginning xxxx telling send payment least xxxx xxxx xxxx xxxx xxxx bank sent xxxx online payment paid bill year went xxxx website next week see payment made xxxx card removed xxxx xxxx received email synchrony bank telling could access account website found payment credited called synchrony next day xxxx xxxx said record payment also said make payment xxxx xxxx charged late fee called xxxx recieved payment bank said record also called bank xxxx xxxx xxxx xxxx sent wire receipt showing fund wired xxxx yesterday xxxx xxxx synchrony bank charged late fee credit union investigating happened payment calling update neither xxxx synchrony know went
